product_id,product_name,product_group_id,price,stock_quantity,description,sku,manufacturer,warranty_period,release_date,weight,dimensions
1,So Bag,8,563.14,464,Government future develop meet view article difficult.,4457293175391,"Daugherty, Campbell and Carter",3 years,2024-04-30,7.61,16.7 x 33.2 x 1.8 cm
2,Religious Late,13,1146.68,499,Sometimes strong past young attack gun.,5335303400963,Chase-Park,2 years,2023-01-19,1.09,18.0 x 23.0 x 7.4 cm
3,Point Defense,16,1620.84,172,Machine edge language note second yet compare.,9903672386667,"Scott, Cameron and Mathews",3 years,2022-09-15,5.16,9.7 x 21.2 x 9.9 cm
4,Subject Too,8,1602.08,277,Style idea board move tonight machine determine.,5996664561306,"Suarez, Holden and Hawkins",2 years,2020-12-11,8.33,40.0 x 14.5 x 9.5 cm
5,I Three,2,1968.23,55,Remain operation somebody safe machine particular.,9065959563755,"Moore, Mayer and Sampson",6 months,2021-01-23,2.6,27.0 x 31.8 x 7.3 cm
6,Never Physical,10,486.41,29,Appear exactly produce white stage agreement.,4188290367686,Barnes and Sons,1 year,2022-12-20,2.24,19.7 x 12.5 x 5.9 cm
7,Picture He,2,990.59,441,Type lay change gas.,1853897605624,"Hicks, Bell and Holmes",1 year,2024-05-22,4.43,26.3 x 12.6 x 1.0 cm
8,Manage And,11,577.42,211,Camera national reveal.,7031904093808,Friedman-Diaz,3 years,2023-10-22,3.57,28.1 x 40.3 x 3.8 cm
9,System Interest,5,1354.6,20,Environment out what provide increase it environmental.,5196136313673,Guzman-Reyes,3 years,2020-07-06,0.38,40.7 x 45.1 x 7.1 cm
10,Method Find,9,1167.79,70,Worry rich next vote catch until.,2706572249394,"Soto, Tucker and Smith",3 years,2021-01-17,0.73,36.3 x 6.3 x 7.7 cm
11,Test In,11,1832.04,185,Action vote join.,0314183426350,Rodriguez Inc,6 months,2023-06-25,8.54,17.2 x 49.7 x 3.0 cm
12,Score Lot,5,400.15,160,Him of visit region.,1976449993922,"Ortiz, Andrews and Baker",6 months,2020-09-21,9.93,39.0 x 43.6 x 8.5 cm
13,Herself Reason,18,760.73,392,News design south success can figure.,7020727628403,Nelson-Fisher,3 years,2022-01-12,6.41,31.7 x 43.4 x 2.9 cm
14,Either Air,14,464.8,473,Kind need camera audience read pattern.,0627120433800,Sanchez Inc,3 years,2023-11-25,3.29,41.4 x 25.5 x 9.4 cm
15,National Prove,3,1577.51,15,Who eye blood customer.,0737040789724,"Roberts, Lewis and Chung",1 year,2024-02-20,9.66,45.3 x 26.9 x 7.4 cm
16,Answer Attention,14,1532.85,243,Stay continue open green.,1148846247186,Thomas PLC,3 years,2024-02-07,8.72,21.3 x 8.3 x 6.5 cm
17,Mother Through,5,305.46,253,Listen member customer likely.,9803697043371,Flores Group,2 years,2023-09-23,1.86,7.1 x 18.2 x 1.6 cm
18,Mother Traditional,2,301.02,444,Example his add responsibility participant although company.,3642520194035,Harding LLC,2 years,2023-10-24,6.37,38.0 x 37.0 x 8.4 cm
19,Relationship Picture,15,479.94,482,Attention maybe service professor serious change including recent.,7520988131907,Tapia-Curtis,2 years,2020-03-29,7.04,46.0 x 8.7 x 7.6 cm
20,Agreement Become,20,102.82,454,Draw whether truth finish current ability.,6200717572614,Butler Inc,1 year,2023-04-21,6.22,41.5 x 24.4 x 2.5 cm
21,Company Avoid,5,224.54,448,Name who successful entire.,0313715414247,"Johnston, Bryant and Jennings",6 months,2022-12-31,0.39,19.8 x 10.8 x 4.8 cm
22,Stuff During,3,1619.99,319,Cost safe like person.,2835273645867,Maxwell-Phillips,6 months,2020-08-29,4.5,49.2 x 26.3 x 4.2 cm
23,Within Issue,16,1757.2,103,Understand smile evidence material fly.,5000708727143,Murillo-Hopkins,1 year,2020-04-11,3.39,49.3 x 40.7 x 1.8 cm
24,Probably None,18,1461.45,220,Author candidate responsibility down tree after media should.,2698560021535,Griffith-Smith,3 years,2021-05-01,0.93,11.1 x 11.1 x 3.5 cm
25,Product Most,9,1946.95,417,Key job character trouble wind.,9998217410501,"Chavez, Eaton and Douglas",6 months,2020-11-05,5.4,40.3 x 25.9 x 4.3 cm
26,Sort Matter,7,666.02,0,Close you picture else series hit.,8018456680693,"Stevens, Welch and Hodge",6 months,2023-03-22,6.78,11.2 x 11.3 x 1.4 cm
27,Start Knowledge,20,662.9,178,These both front.,4935428242229,"Lopez, Forbes and Burgess",6 months,2022-08-06,1.04,28.7 x 18.8 x 5.9 cm
28,Rather Raise,4,1152.45,24,History politics seven begin whose.,1186732623966,Allison LLC,1 year,2024-06-08,6.14,36.9 x 22.2 x 2.2 cm
